date_time,secs_from_start,vis_ring,snd_playing,mri_vol,event_type
2016-03-09-10:31:32.922,000.004,none,silence,1,new_mri_vol
2016-03-09-10:31:32.929,000.011,0,silence,1,ring_off
2016-03-09-10:31:32.939,000.021,0,silence,1,sound_off
2016-03-09-10:31:34.924,002.006,0,silence,2,new_mri_vol
2016-03-09-10:31:36.921,004.003,0,silence,3,new_mri_vol
2016-03-09-10:31:38.921,006.003,0,silence,4,new_mri_vol
2016-03-09-10:31:40.923,008.005,0,silence,5,new_mri_vol
2016-03-09-10:31:42.925,010.007,0,silence,6,new_mri_vol
2016-03-09-10:31:43.354,010.436,0,wav/900/norm/900-neu-din-b.wav,6,sound_on
2016-03-09-10:31:44.940,012.022,0,wav/900/norm/900-neu-din-b.wav,7,new_mri_vol
2016-03-09-10:31:45.410,012.492,1,wav/900/norm/900-neu-din-b.wav,7,ring_on
2016-03-09-10:31:45.898,012.980,1,wav/900/norm/900-neu-din-b.wav,7,keypress
2016-03-09-10:31:46.393,013.475,0,wav/900/norm/900-neu-din-b.wav,7,ring_off
2016-03-09-10:31:46.925,014.007,0,wav/900/norm/900-neu-din-b.wav,8,new_mri_vol
2016-03-09-10:31:48.926,016.008,0,wav/900/norm/900-neu-din-b.wav,9,new_mri_vol
2016-03-09-10:31:50.923,018.005,0,wav/900/norm/900-neu-din-b.wav,10,new_mri_vol
2016-03-09-10:31:52.924,020.006,0,wav/900/norm/900-neu-din-b.wav,11,new_mri_vol
2016-03-09-10:31:53.325,020.407,0,silence,11,sound_off
2016-03-09-10:31:54.922,022.005,0,silence,12,new_mri_vol
2016-03-09-10:31:55.292,022.374,1,silence,12,ring_on
2016-03-09-10:31:55.788,022.870,1,silence,12,keypress
2016-03-09-10:31:56.292,023.374,0,silence,12,ring_off
2016-03-09-10:31:56.922,024.004,0,silence,13,new_mri_vol
2016-03-09-10:31:58.924,026.006,0,silence,14,new_mri_vol
2016-03-09-10:31:59.360,026.442,0,wav/901/norm/901-hap-hlp-b.wav,14,sound_on
2016-03-09-10:32:00.925,028.008,0,wav/901/norm/901-hap-hlp-b.wav,15,new_mri_vol
2016-03-09-10:32:02.642,029.724,1,wav/901/norm/901-hap-hlp-b.wav,15,ring_on
2016-03-09-10:32:02.921,030.004,1,wav/901/norm/901-hap-hlp-b.wav,16,new_mri_vol
2016-03-09-10:32:03.066,030.148,1,wav/901/norm/901-hap-hlp-b.wav,16,keypress
2016-03-09-10:32:03.642,030.724,0,wav/901/norm/901-hap-hlp-b.wav,16,ring_off
2016-03-09-10:32:04.922,032.004,0,wav/901/norm/901-hap-hlp-b.wav,17,new_mri_vol
2016-03-09-10:32:06.923,034.005,0,wav/901/norm/901-hap-hlp-b.wav,18,new_mri_vol
2016-03-09-10:32:08.921,036.004,0,wav/901/norm/901-hap-hlp-b.wav,19,new_mri_vol
2016-03-09-10:32:09.339,036.421,0,silence,19,sound_off
2016-03-09-10:32:10.927,038.010,0,silence,20,new_mri_vol
2016-03-09-10:32:12.921,040.003,0,silence,21,new_mri_vol
2016-03-09-10:32:13.374,040.457,1,silence,21,ring_on
2016-03-09-10:32:13.804,040.886,1,silence,21,keypress
2016-03-09-10:32:14.374,041.456,0,silence,21,ring_off
2016-03-09-10:32:14.922,042.005,0,silence,22,new_mri_vol
