"Speaker" "Emotion" "Script" "Order" "Run" "Stim_index"
"Unf" "Neut" "3b" 2 2 1
"None" "Sil" "0" 2 2 2
"Mom" "Happy " "1b" 2 2 3
"None" "Sil" "0" 2 2 4
"Unf" "Angry" "2b" 2 2 5
"None" "Sil" "0" 2 2 6
"Mom" "Sad" "4b" 2 2 7
"None" "Sil" "0" 2 2 8
"Unf" "Happy" "3b" 2 2 9
"None" "Sil" "0" 2 2 10
"Mom" "Neu" "2b" 2 2 11
"None" "Sil" "0" 2 2 12
"Mom" "Angry " "1b" 2 2 13
"None" "Sil" "0" 2 2 14
"Unf" "Happy" "4b" 2 2 15
"None" "Sil" "0" 2 2 16
"Mom" "Sad" "3b" 2 2 17
"None" "Sil" "0" 2 2 18
"Unf" "Neut" "1b" 2 2 19
"None" "Sil" "0" 2 2 20
"Mom" "Angry " "4b" 2 2 21
"None" "Sil" "0" 2 2 22
"Unf" "Sad" "2b" 2 2 23
"None" "Sil" "0" 2 2 24
"Mom" "Happy " "3b" 2 2 25
"None" "Sil" "0" 2 2 26
"Unf" "Neut" "2b" 2 2 27
"None" "Sil" "0" 2 2 28
"Mom" "Sad" "1b" 2 2 29
"None" "Sil" "0" 2 2 30
"Mom" "Angry " "3b" 2 2 31
"None" "Sil" "0" 2 2 32
"Unf" "Happy" "2b" 2 2 33
"None" "Sil" "0" 2 2 34
"Unf" "Sad" "1b" 2 2 35
"None" "Sil" "0" 2 2 36
"Mom" "Neu" "4b" 2 2 37
"None" "Sil" "0" 2 2 38
"Unf" "Angry" "1b" 2 2 39
"None" "Sil" "0" 2 2 40
"Mom" "Happy " "4b" 2 2 41
"None" "Sil" "0" 2 2 42
"Mom" "Neu" "1b" 2 2 43
"None" "Sil" "0" 2 2 44
"Mom" "Happy " "2b" 2 2 45
"None" "Sil" "0" 2 2 46
"Unf" "Angry" "4b" 2 2 47
"None" "Sil" "0" 2 2 48
"Mom" "Neu" "3b" 2 2 49
"None" "Sil" "0" 2 2 50
"Unf" "Sad" "4b" 2 2 51
"None" "Sil" "0" 2 2 52
"Mom" "Angry " "2b" 2 2 53
"None" "Sil" "0" 2 2 54
"Unf" "Sad" "3b" 2 2 55
"None" "Sil" "0" 2 2 56
"Unf" "Neu" "4b" 2 2 57
"None" "Sil" "0" 2 2 58
"Mom" "Sad" "2b" 2 2 59
"None" "Sil" "0" 2 2 60
"Unf" "Angry" "3b" 2 2 61
"None" "Sil" "0" 2 2 62
"Unf" "Happy" "1b" 2 2 63
"None" "Sil" "0" 2 2 64
"Unf" "Neut" "3b" 2 2 65
