"Speaker","Emotion","Script","Order","Run","Stim_index","Version"
"unf","neu",1,1,1,1,"a"
"fam","sad",2,1,1,3,"a"
"unf","ang",1,1,1,5,"a"
"unf","hap",3,1,1,7,"a"
"fam","sad",1,1,1,9,"a"
"fam","hap",4,1,1,11,"a"
"unf","neu",2,1,1,13,"a"
"unf","sad",3,1,1,15,"a"
"unf","ang",2,1,1,17,"a"
"fam","hap",1,1,1,19,"a"
"fam","neu",3,1,1,21,"a"
"unf","hap",1,1,1,23,"a"
"fam","ang",4,1,1,25,"a"
"fam","sad",3,1,1,27,"a"
"unf","neu",4,1,1,29,"a"
"fam","hap",2,1,1,31,"a"
"unf","sad",4,1,1,33,"a"
"fam","ang",3,1,1,35,"a"
"unf","hap",2,1,1,37,"a"
"fam","neu",4,1,1,39,"a"
"unf","ang",3,1,1,41,"a"
"unf","sad",1,1,1,43,"a"
"fam","hap",3,1,1,45,"a"
"unf","ang",4,1,1,47,"a"
"unf","neu",3,1,1,49,"a"
"fam","sad",4,1,1,51,"a"
"fam","neu",2,1,1,53,"a"
"unf","hap",4,1,1,55,"a"
"fam","ang",1,1,1,57,"a"
"unf","sad",2,1,1,59,"a"
"fam","neu",1,1,1,61,"a"
"fam","ang",2,1,1,63,"a"
"unf","neu",1,1,1,65,"a"
"unf","neu",1,1,2,1,"b"
"fam","hap",4,1,2,3,"b"
"fam","sad",3,1,2,5,"b"
"unf","ang",4,1,2,7,"b"
"fam","neu",3,1,2,9,"b"
"fam","sad",1,1,2,11,"b"
"unf","hap",2,1,2,13,"b"
"unf","neu",4,1,2,15,"b"
"fam","ang",1,1,2,17,"b"
"unf","sad",3,1,2,19,"b"
"fam","neu",1,1,2,21,"b"
"unf","ang",2,1,2,23,"b"
"unf","hap",1,1,2,25,"b"
"unf","neu",3,1,2,27,"b"
"fam","sad",2,1,2,29,"b"
"fam","ang",3,1,2,31,"b"
"unf","hap",4,1,2,33,"b"
"fam","neu",2,1,2,35,"b"
"unf","sad",1,1,2,37,"b"
"fam","hap",3,1,2,39,"b"
"unf","sad",2,1,2,41,"b"
"unf","ang",3,1,2,43,"b"
"unf","neu",2,1,2,45,"b"
"unf","hap",3,1,2,47,"b"
"unf","ang",1,1,2,49,"b"
"fam","neu",4,1,2,51,"b"
"fam","ang",2,1,2,53,"b"
"unf","sad",4,1,2,55,"b"
"fam","hap",2,1,2,57,"b"
"fam","ang",4,1,2,59,"b"
"fam","hap",1,1,2,61,"b"
"fam","sad",4,1,2,63,"b"
"unf","neu",1,1,2,65,"b"
"unf","neu",2,2,1,1,"a"
"fam","ang",3,2,1,3,"a"
"fam","sad",1,2,1,5,"a"
"unf","hap",3,2,1,7,"a"
"fam","neu",2,2,1,9,"a"
"unf","sad",4,2,1,11,"a"
"fam","ang",2,2,1,13,"a"
"fam","hap",1,2,1,15,"a"
"unf","neu",4,2,1,17,"a"
"unf","sad",3,2,1,19,"a"
"unf","ang",2,2,1,21,"a"
"fam","neu",3,2,1,23,"a"
"unf","hap",4,2,1,25,"a"
"fam","ang",1,2,1,27,"a"
"fam","sad",4,2,1,29,"a"
"unf","neu",3,2,1,31,"a"
"unf","sad",1,2,1,33,"a"
"fam","hap",4,2,1,35,"a"
"unf","ang",3,2,1,37,"a"
"fam","hap",2,2,1,39,"a"
"fam","sad",3,2,1,41,"a"
"unf","neu",1,2,1,43,"a"
"unf","ang",4,2,1,45,"a"
"fam","sad",2,2,1,47,"a"
"fam","neu",4,2,1,49,"a"
"unf","hap",1,2,1,51,"a"
"unf","sad",2,2,1,53,"a"
"fam","ang",4,2,1,55,"a"
"unf","hap",2,2,1,57,"a"
"fam","neu",1,2,1,59,"a"
"fam","hap",3,2,1,61,"a"
"unf","ang",1,2,1,63,"a"
"unf","neu",2,2,1,65,"a"
"unf","neu",2,2,2,1,"b"
"fam","hap",1,2,2,3,"b"
"unf","ang",2,2,2,5,"b"
"fam","sad",4,2,2,7,"b"
"unf","hap",3,2,2,9,"b"
"fam","neu",2,2,2,11,"b"
